User_ID,Female,Age,Location,Verification,Heterosexual,Homosexual,bicurious,bisexual,Dominant,Submisive,Switch,Men,Men_and_Women,Nobody,Nobody_but_maybe,Women,Points_Rank,Last_login,Member_since_year,Member_since_month,Member_since_day,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Number of Friends,Profile_pictures,Friends_ID_list,Risk
10386,False,34.6,A,False,0,1,0,0,0,0,1,1,0,0,0,0,50,10,2012,9,17,32,2,0,0,1,0,18260,0.0
14,False,32.2,J,False,1,0,0,0,1,0,0,0,0,0,0,1,518,1,2009,11,1,710,225,9,0,7,0,"11778,32024,43768,23969,27318,45884,31277",0.0
16721,False,33.6,K,False,1,0,0,0,1,0,0,0,0,0,0,1,150,3,2013,4,1,25,135,1,1,3,45,"19805,21721,19802",0.0
16957,False,34.0,H,False,1,0,0,0,1,0,0,0,0,0,0,1,114,4,2013,4,8,107,21562,1,0,12,1,"40847,38183,9507,42259,5807,28118,24848,37170,32209,20332,2164,34086",0.0
17125,False,39.5,B,False,1,0,0,0,1,0,0,0,0,0,0,1,497,5,2013,4,14,600,21,0,6,35,8,"1320,35739,34231,19097,20197,18069,12330,43342,16604,21404,20811,2524,30340,24409,25775,6079,21510,10864,6987,12956,36424,15522,20432,22788,18996,33406,19805,33414,6493,32383,28350,22154,18162,469,23554",0.0
17220,True,47.8,A,False,1,0,0,0,1,0,0,0,0,0,1,0,127,1,2013,4,19,159,86212,1,9,33,0,"23178,22033,9547,30606,15355,9507,17023,2593,19878,10510,13729,21430,16298,25684,9436,22639,3985,20801,4808,27079,20587,8746,11465,24122,29506,8677,2878,18223,13868,22356,19248,28379,18162",0.0
1726,False,36.7,B,False,0,0,1,0,0,1,0,0,0,0,0,1,18,1,2010,10,16,1,7340,17,0,1,0,nan,0.0
1750,False,51.0,L,False,1,0,0,0,1,0,0,0,0,1,0,0,38,9,2010,10,22,91,5,0,0,1,2,28050,0.0
18162,True,29.5,A,False,0,0,1,0,0,1,0,0,0,0,1,0,150,4,2013,5,23,278,5059,0,3,32,4,"11650,15608,21357,17220,19573,8747,14635,26552,41285,3985,13028,27079,885,23620,20253,17125,26327,20587,30849,28953,9752,13422,24319,23707,13004,24629,15497,6493,19248,8963,27309,13615",0.0
18820,False,28.0,J,False,1,0,0,0,0,0,1,0,0,0,0,1,-26,1,2013,6,12,4,203,0,0,3,0,"40351,24148,43311",0.0
19437,False,42.9,A,False,1,0,0,0,1,0,0,0,0,0,1,0,15,1,2013,7,7,0,122,0,0,4,0,"32531,38201,24377,42617",0.0
19732,True,45.4,A,False,1,0,0,0,0,1,0,0,0,1,0,0,36,3,2013,7,17,47,19878,0,11,31,0,"24922,47795,22079,24055,20197,22397,43342,32379,46514,31883,20005,40083,8038,42074,31960,28195,3985,6987,29161,9236,13351,23044,21240,18996,26333,19805,32032,14609,19248,26116,469",0.0
19781,False,36.1,F,False,1,0,0,0,0,0,1,0,0,0,0,1,30,1,2013,7,19,0,8393,0,0,2,0,"27687,30821",0.0
19805,False,42.0,H,True,1,0,0,0,1,0,0,0,0,0,1,0,313,1,2013,7,20,51,30488,0,5,26,0,"29362,33755,22397,19878,16604,20811,2524,19732,21510,42074,22639,6987,29161,17125,9236,15522,9326,11465,13422,31150,18996,16721,21721,19248,19802,26116",0.0
19990,False,36.8,E,False,1,0,0,0,0,1,0,0,0,0,0,1,0,62,2013,7,28,0,2724,0,0,1,0,nan,0.0
20926,False,30.9,A,False,1,0,0,0,0,1,0,0,0,0,1,0,15,1,2013,9,2,0,641,0,0,1,0,nan,0.0
